127.0.0.1 - - [18/Oct/2022:01:09:46 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:09:47 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:09:54 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:09:58 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:10:00 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:10:00 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:10:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:10:02 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5945
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:10:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:10:09 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:10:11 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:10:11 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:10:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:10:49 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:10:56 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:11:01 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:11:02 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:11:05 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:11:05 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:11:23 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:11:26 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:13:16 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3105
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:13:42 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:13:42 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:13:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:13:47 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5945
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:13:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:14:02 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:14:02 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:14:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:14:12 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:14:16 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:14:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:14:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:14:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:14:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:14:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:14:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:14:28 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:15:11 +0530] "GET /ORS_Project4/collegeBean HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:15:11 +0530] "GET /ORS_Project4/img/error_404.jpg HTTP/1.1" 200 20016
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:15:26 +0530] "GET /ORS_Project4/CollegeBean HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:15:44 +0530] "GET /ORS_Project4/CollegeBean.java HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:16:11 +0530] "GET /ORS_Project4/CollegeBean HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:16:14 +0530] "GET /ORS_Project4/collegeBean HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:16:21 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:16:32 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:16:41 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:16:41 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:16:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:17:57 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5899
0:0:0:0:0:0:0:1 - - [18/Oct/2022:01:17:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
